Year,Month,Day,Return
1977,1,7,-0.0095
1977,1,10,0.1809
1977,1,11,-1.0266
1977,1,12,-0.6915
1977,1,13,0.7737
1977,1,14,-0.1823
1977,1,17,-0.2692
1977,1,18,-0.3953
1977,1,19,0.513
1977,1,20,-0.8474
1977,1,21,0.3399
1977,1,24,-0.0678
1977,1,25,-0.1162
1977,1,26,-0.766
1977,1,27,-0.5374
1977,1,28,0.1375
1977,1,31,0.0981
1977,2,1,0.4999
1977,2,2,-0.1755
1977,2,3,-0.4982
1977,2,4,0.0295
1977,2,7,0.0098
1977,2,8,-0.2846
1977,2,9,-0.8563
1977,2,10,0.0893
1977,2,11,-0.5951
1977,2,14,0.5189
1977,2,15,0.2978
1977,2,16,0.4553
1977,2,17,-0.5714
1977,2,18,-0.4261
1977,2,22,0
1977,2,23,-0.2985
1977,2,24,-0.5889
1977,2,25,-0.1205
1977,2,28,0.3418
1977,3,1,0.8415
1977,3,2,-0.2682
1977,3,3,0.4881
1977,3,4,0.3172
1977,3,7,0.0494
1977,3,8,-0.3753
1977,3,9,-0.7634
1977,3,10,0.5694
1977,3,11,-0.0199
1977,3,14,0.765
1977,3,15,0.5522
1977,3,16,0.1863
1977,3,17,-0.0881
1977,3,18,-0.2155
1977,3,21,-0.54
1977,3,22,-0.306
1977,3,23,-0.7921
1977,3,24,-0.499
1977,3,25,-0.6419
1977,3,28,-0.0606
1977,3,29,0.697
1977,3,30,-1.1536
1977,3,31,-0.1218
1977,4,1,0.8027
1977,4,4,-0.9878
1977,4,5,-0.224
1977,4,6,-0.102
1977,4,7,0.4494
1977,4,11,0.5389
1977,4,12,1.2844
1977,4,13,0.01
1977,4,14,0.8387
1977,4,15,0.0396
1977,4,18,-0.4949
1977,4,19,-0.4675
1977,4,20,0.3298
1977,4,21,-0.6474
1977,4,22,-1.3133
1977,4,25,-1.3104
1977,4,26,-0.0412
1977,4,27,0.8753
1977,4,28,0.245
1977,4,29,0.2444
1977,5,2,0.4978
1977,5,3,0.5054
1977,5,4,0.533
1977,5,5,0.1501
1977,5,6,-0.6193
1977,5,9,-0.3116
1977,5,10,0.2924
1977,5,11,-0.6937
1977,5,12,-0.0506
1977,5,13,0.3039
1977,5,16,0.4443
1977,5,17,0.3016
1977,5,18,0.5312
1977,5,19,-0.4187
1977,5,20,-0.4305
1977,5,23,-1.3072
1977,5,24,-0.489
1977,5,25,-0.9215
1977,5,26,0.248
1977,5,27,-0.7628
1977,5,31,-0.1558
1977,6,1,0.8427
1977,6,2,-0.196
1977,6,3,0.982
1977,6,6,-0.4709
1977,6,7,0.5142
1977,6,8,0.4809
1977,6,9,-0.0611
1977,6,10,0.3261
